brand_name,car_name,variant_name,variant_price,engine,engine_type,fuel_type,max_power,max_torque,mileage,driving_range,drivetrain,transmission_manual,emission_standard,electric_motor,others,valve_per_cylinder,length,width,height,wheel_base,ground_clearance,doors,seating_capacity,no_of_rows,boot_space,fuel_tank_capacity,front_suspension,rear_suspension,front_brake_type,rear_brake_type,minimum_turning_radius
BMW,BMW M8,M8 Coupe,Rs. 2.44 Crore,"4395 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",S63 Twin-Turbocharged V8,Petrol,617 bhp @ 6000 rpm,750 Nm @ 1800-5600 rpm,8.77 kmpl,596 km,AWD,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4867 mm,1907 mm,1362 mm,2827 mm,130 mm,2 Doors,4 Person,2 Rows,420 litres,68 litres,Double Wishbone Axle with Adaptive Variable Damper Control,Five-link Axle with  Adaptive Variable Damper Control,Ventilated Disc,Ventilated Disc,6.1 metres
BMW,BMW X3,X3 xDrive20d xLine,Rs. 68.50 Lakh,"1995 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",B47 Turbocharged I4,Diesel,188 bhp @ 5200 rpm,400 Nm @ 1750-2500 rpm,16.55 kmpl,1125 km,AWD,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4708 mm,1891 mm,1676 mm,2864 mm,N/A,5 Doors,5 Person,2 Rows,N/A,68 litres,Double-joint Tension-rod Spring-strut Axle,Five-link Axle,Ventilated Disc,Ventilated Disc,6 metres
BMW,BMW X3,X3 xDrive20d M Sport,Rs. 72.50 Lakh,"1995 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",B47 Turbocharged I4,Diesel,188 bhp @ 5200 rpm,400 Nm @ 1750-2500 rpm,16.55 kmpl,1125 km,AWD,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4708 mm,1891 mm,1676 mm,2864 mm,N/A,5 Doors,5 Person,2 Rows,N/A,68 litres,Double-joint Tension-rod Spring-strut Axle,Five-link Axle,Ventilated Disc,Ventilated Disc,6 metres
BMW,BMW X3,X3 xDrive20d M Sport Shadow Edition,Rs. 74.90 Lakh,"1995 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",B47 Turbocharged I4,Diesel,188 bhp @ 5200 rpm,400 Nm @ 1750-2500 rpm,16.55 kmpl,1125 km,AWD,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4708 mm,1891 mm,1676 mm,2864 mm,N/A,5 Doors,5 Person,2 Rows,N/A,68 litres,Double-joint Tension-rod Spring-strut Axle,Five-link Axle,Ventilated Disc,Ventilated Disc,6 metres
BMW,BMW i7,i7 eDrive50 M Sport,Rs. 2.03 Crore,"Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable",Electric,Electric,N/A,N/A,N/A,603 km,AWD,"Automatic - 1 Gears, Sport Mode",N/A,2 Permanent magnet synchronous Placed At One motor each on front and rear axle,"Regenerative Braking, Pure Electric Driving Mode","Not Applicable, Not Applicable",5391 mm,1950 mm,1544 mm,3215 mm,N/A,4 Doors,5 Person,2 Rows,N/A,N/A,N/A,N/A,Disc,Disc,N/A
BMW,BMW i7,i7 xDrive60 M Sport,Rs. 2.13 Crore,"Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable",Electric,Electric,N/A,N/A,N/A,625 km,AWD,"Automatic - 1 Gears, Sport Mode",N/A,2 Permanent magnet synchronous Placed At One motor each on front and rear axle,"Regenerative Braking, Pure Electric Driving Mode","Not Applicable, Not Applicable",5391 mm,1950 mm,1544 mm,3215 mm,N/A,4 Doors,5 Person,2 Rows,N/A,N/A,N/A,N/A,Disc,Disc,N/A
BMW,BMW i7,i7 M70 xDrive,Rs. 2.50 Crore,"Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable",Electric,Electric,N/A,N/A,N/A,560 km,AWD,"Automatic - 1 Gears, Sport Mode",N/A,2 Permanent magnet synchronous Placed At One motor each on front and rear axle,"Regenerative Braking, Pure Electric Driving Mode","Not Applicable, Not Applicable",5391 mm,1950 mm,1544 mm,3215 mm,N/A,4 Doors,5 Person,2 Rows,N/A,N/A,N/A,N/A,Disc,Disc,N/A
BMW,BMW i4,i4 eDrive35 M Sport,Rs. 72.50 Lakh,"Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable",Electric,Electric,N/A,N/A,N/A,483 km,RWD,"Automatic - 1 Gears, Sport Mode",N/A,2 Permanent magnet synchronous Placed At One motor each on front and rear axle,"Regenerative Braking, Pure Electric Driving Mode","Not Applicable, Not Applicable",4783 mm,1852 mm,1448 mm,2856 mm,125 mm,5 Doors,5 Person,2 Rows,N/A,N/A,Double-joint Spring Strut with Hydraulically Damped Torque Strut Bearing,Five-link Axle with Automatic Self-levelling Air Suspension,Disc,Disc,6.25 metres
BMW,BMW i4,i4 eDrive40 M Sport,Rs. 77.50 Lakh,"Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable",Electric,Electric,N/A,N/A,N/A,590 km,RWD,"Automatic - 1 Gears, Sport Mode",N/A,2 Permanent magnet synchronous Placed At One motor each on front and rear axle,"Regenerative Braking, Pure Electric Driving Mode","Not Applicable, Not Applicable",4783 mm,1852 mm,1448 mm,2856 mm,125 mm,5 Doors,5 Person,2 Rows,N/A,N/A,Double-joint Spring Strut with Hydraulically Damped Torque Strut Bearing,Five-link Axle with Automatic Self-levelling Air Suspension,Disc,Disc,6.25 metres
BMW,BMW X4 M40i,X4 M40i xDrive,Rs. 96.20 Lakh,"2998 cc, 6 Cylinders Inline, 4 Valves/Cylinder, DOHC",B48 Turbocharged I4,Petrol,355 bhp @ 5200-6500 rpm,500 Nm @ 1900-5000 rpm,10.4 kmpl,N/A,AWD,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4754 mm,1927 mm,1620 mm,2864 mm,N/A,5 Doors,5 Person,2 Rows,N/A,N/A,Double-joint Tension-rod Spring-strut Axle,Five-link Axle,Ventilated Disc,Ventilated Disc,6.05 metres
BMW,BMW iX1,iX1 xDrive30 M Sport,Rs. 66.90 Lakh,N/A,Electric,Electric,N/A,494 Nm,N/A,417 km,AWD,"Automatic - 1 Gears, Sport Mode",N/A,2 Permanent magnet synchronous Placed At One motor each on front and rear axle,Regenerative Braking,N/A,4500 mm,1845 mm,1612 mm,2692 mm,N/A,5 Doors,5 Person,2 Rows,490 litres,N/A,Double wishbone,Five-link,Ventilated Disc,Ventilated Disc,N/A
BMW,BMW iX,iX xDrive 40,Rs. 1.21 Crore,"Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable",Electric,Electric,N/A,N/A,N/A,N/A,AWD,Automatic - 1 Gears,N/A,2 Permanent magnet synchronous Placed At One motor each on front and rear axle,"Regenerative Braking, Pure Electric Driving Mode","Not Applicable, Not Applicable",4953 mm,1967 mm,1695 mm,3000 mm,N/A,5 Doors,5 Person,2 Rows,N/A,N/A,Double wishbone,Five-link,Ventilated Disc,Ventilated Disc,N/A
BMW,BMW iX,iX xDrive 50,Rs. 1.40 Crore,N/A,Electric,Electric,N/A,N/A,N/A,635 km,AWD,Automatic - 1 Gears,N/A,2 Permanent magnet synchronous Placed At One motor each on front and rear axle,"Regenerative Braking, Pure Electric Driving Mode",N/A,4953 mm,1967 mm,1695 mm,3000 mm,N/A,5 Doors,5 Person,2 Rows,N/A,N/A,Air Springs,Air Springs,Ventilated Disc,Ventilated Disc,N/A
BMW,BMW i5,i5 M60 xDrive,Rs. 1.20 Crore,N/A,Electric,Electric,601 bhp,795 Nm,N/A,516 km,AWD,"Automatic - 1 Gears, Sport Mode",N/A,2 Permanent magnet synchronous Placed At One motor each on front and rear axle,"Regenerative Braking, Pure Electric Driving Mode",N/A,5060 mm,1900 mm,1505 mm,2995 mm,N/A,4 Doors,4 Person,2 Rows,490 litres,N/A,N/A,N/A,N/A,N/A,N/A
